Name,Project,🌍 Country,🏫 Primary Affiliation,🏫 Secondary Affiliation(s),🟢 ORCiD,Conceptualization,Formal analysis,Investigation,Methodology,Project administration,Writing - original draft,Writing - review & editing,LabID,Leadership Role(s),📚 Projects
Abbie Thompson,MB1,United States,Valparaiso University,,https://orcid.org/0000-0002-5087-502X,,,Leading,,,,,islNotredame,,"MB-AtHome,MB1,MB3,MB3L,MB5"
Adena Schachner,MB1,United States,"""University of California, San Diego""",,https://orcid.org/0000-0001-6886-7098,,,Leading,,,,,madlabUCSD,,MB1
Adriel John Orena,MB1,Canada,McGill University,,https://orcid.org/0000-0002-9231-567X,,,Leading,,,,,,,"MB1,MB1B"
Alejandrina Cristia,MB1,France,Université PSL,"Ecole Normale Supérieure,EHESS,CNRS",https://orcid.org/0000-0003-2979-4556,,Leading,Leading,,,Leading,Leading,lscpPSL,,"MB1,MB5"
Alexis K. Black,MB1,Canada,University of British Columbia,,https://orcid.org/0000-0001-6764-4319,,,Leading,,,,,infantstudiesUBC,,"MB1,MB1B,MB1G,MB1L,MB1-Meta,MB3,MB5"
Alia Martin,MB1,New Zealand,Victoria University of Wellington,,https://orcid.org/0000-0003-4724-8217,,,Leading,,,,,babylabVUW,,"MB1,MB1L,MB4,MB4I,MB5"
Alissa Ferry,MB1,United Kingdom,University of Manchester,,https://orcid.org/0000-0003-2217-1989,,,Leading,,,,,childlabManchester,,"MB1,MB5"
Alix Woolard,MB1,Australia,"""University of Newcastle, Australia""",,https://orcid.org/0000-0003-3427-351X,,Leading,Leading,,,,,cfnUofN,,"MB-AtHome,MB1"
Amanda Seidl,MB1,United States,Purdue University,,https://orcid.org/0000-0001-9825-1462,Leading,,Leading,,,,,purdueinfantspeech,,"MB1,MB1L"
Andrea A.R. Krieger,MB1,Germany,Saarland University,,,,,Leading,,,,,,,MB1
Angeline Sin Mei Tsui,MB1,United States,Stanford University,,https://orcid.org/0000-0003-0333-7234,,Leading,Leading,,,,,,MB1-Africa Lead,"MB-Demographics,MB1,MB1-Africa,MB1B,MB1L,MB1-Meta,MB2,MB3,MB5"
Anja Gampe,MB1,Germany,University of Duisburg-Essen,,https://orcid.org/0000-0001-9812-9694 ,,,Leading,,,,,,,"MB1,MB1B,MB1G,MB1L"
Anna Brown,MB1,United Kingdom,University of Liverpool,,https://orcid.org/0000-0001-6119-7925,,,Leading,,,,,,,"MB1,MB1B,MB1G"
