lab,subid,age_mos,exclude
SMU,RSAMB014,3,F
SMU,RSAMB016,3,F
SMU,RSAMB021,3,F
SMU,RSAMB013,4,F
SMU,RSAMB015,4,F
SMU,RSAMB022,5,F
SMU,RSAMB026,5,F
SMU,RSAMB009,6,F
SMU,RSAMB024,6,F
SMU,RSAMB003,7,F
SMU,RSAMB011,7,F
SMU,RSAMB018,8,F
SMU,RSAMB025,8,T
SMU,RSAMB028,8,F
SMU,RSAMB005,9,F
SMU,RSAMB017,9,F
SMU,RSAMB029,9,F
SMU,RSAMB002,10,F
SMU,RSAMB006,10,F
SMU,RSAMB008,10,T
SMU,RSAMB027,10,F
SMU,RSAMB004,11,F
SMU,RSAMB033,11,F
SMU,RSAMB034,11,F
SMU,RSAMB010,12,F
SMU,RSAMB019,12,F
SMU,RSAMB001,13,F
SMU,RSAMB031,13,F
SMU,RSAMB023,14,F
SMU,RSAMB007,14,F
SMU,RSAMB035,14,F
SMU,RSAMB020,15,F
SMU,RSAMB030,15,F
SMU,RSAMB032,15,F
