lab,subid,order,trial_type,stimulus,trial_num,looking_time_s,trial_error,trial_error_type,looking_time_diff,total_center,enabled_diff
Omane - Ghana,mba_p1,1,IDS,IDS1,1,16.754,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS1,2,14.891,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS2,3,14.79,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS2,4,9.27,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS3,5,4.692,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS3,6,13.549,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS4,7,14.735,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS4,8,13.349,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS5,9,16.099,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS5,10,12.383,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS6,11,3.244,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS6,12,13.304,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS7,13,15.894,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS7,14,6.08,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,ADS,ADS8,15,10.47,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p1,1,IDS,IDS8,16,6.084,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS1,1,12.412,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS1,2,7.615,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS2,3,2.289,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS2,4,4.022,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS3,5,5.566,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS3,6,5.664,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS4,7,2.193,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS4,8,6.513,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS5,9,4.099,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS5,10,1.519,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,ADS,ADS6,11,1.763,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p2,1,IDS,IDS6,12,1.97,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS1,1,9.019,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS1,2,16.252,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS2,3,8.149,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS2,4,14.446,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS3,5,15.747,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS3,6,12.521,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS4,7,15.048,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS4,8,4.887,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS5,9,3.548,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS5,10,2.985,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS6,11,6.726,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS6,12,7.288999999999999,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS7,13,9.006999999999998,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS7,14,2.282,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,IDS,IDS8,15,4.393,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p3,2,ADS,ADS8,16,1.855,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS5,1,16.694,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS5,2,11.17,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS7,3,5.478,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS7,4,4.2,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS1,5,5.338,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS1,6,5.58,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS3,7,4.862,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS3,8,16.92,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS2,9,6.074,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS2,10,15.976,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS4,11,13.162,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS4,12,5.261,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS6,13,5.79,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,ADS,ADS6,14,14.947,noerror,NA,NA,NA,NA
Omane - Ghana,mba_p4,3,IDS,IDS8,15,15.447,noerror,NA,NA,NA,NA
